"lineid:integer:p:line[linename]","stationid:integer:p:station[stationname]","realkilo:integer","fakekilo:integer","kilocompanyid:integer::company[companyname]"
"根室","下金山",747,,
"根室","（根）金山",816,,
"根室","東鹿越",948,,
"根室","幾寅",988,,
"根室","落合",1082,,
"根室","新得",1363,,
"根室","十勝清水",1454,,
"根室","羽帯",1529,,
"根室","御影",1559,,
"根室","芽室",1665,,
"根室","大成",1686,,
"根室","西帯広",1734,,
"根室","柏林台",1766,,
"根室","帯広",1801,,
"根室","札内",1849,,
"根室","稲士別",1885,,
"根室","幕別",1943,,
"根室","利別",2008,,
"根室","池田",2043,,
"根室","十弗",2128,,
"根室","豊頃",2182,,
"根室","新吉野",2253,,
"根室","浦幌",2317,,
"根室","上厚内",2435,,
"根室","厚内",2501,,
"根室","直別",2573,,
"根室","尺別",2613,,
"根室","音別",2651,,
"根室","古瀬",2748,,
"根室","白糠",2811,,
"根室","西庶路",2865,,
"根室","庶路",2886,,
"根室","大楽毛",2990,,
"根室","新大楽毛",3008,,
"根室","（根）新富士",3057,,
"根室","釧路",3084,,
"根室","東釧路",3113,,
"根室","武佐",3125,,
"根室","別保",3170,,
"根室","上尾幌",3317,,
"根室","尾幌",3409,,
"根室","門静",3501,,
"根室","厚岸",3550,,
"根室","糸魚沢",3656,,
"根室","茶内",3752,,
"根室","浜中",3822,,
"根室","姉別",3923,,
"根室","厚床",3989,,
"根室","初田牛",4060,,
"根室","別当賀",4145,,
"根室","落石",4248,,
"根室","昆布盛",4288,,
"根室","西和田",4336,,
"根室","花咲",4382,,
"根室","東根室",4423,,
"根室","根室",4438,,
"函館","函館",0,,
"函館","五稜郭",34,,
"函館","桔梗",83,,
"函館","大中山",104,,
"函館","七飯",138,,
"函館","渡島大野",179,,
"函館","仁山",212,,
"函館","大沼",270,,
"函館","大沼公園",280,,
"函館","赤井川",317,,
"函館","駒ヶ岳",365,,
"函館","東山",401,,
"函館","（函）姫川",442,,
"函館","森",495,,
"函館","桂川",522,,
"函館","石谷",561,,
"函館","本石倉",600,,
"函館","石倉",621,,
"函館","落部",661,,
"函館","野田生",714,,
"函館","山越",760,,
"函館","八雲",811,,
"函館","鷲ノ巣",842,,
"函館","（函）山崎",883,,
"函館","黒岩",944,,
"函館","北豊津",982,,
"函館","国縫",1028,,
"函館","中ノ沢",1077,,
"函館","長万部",1123,,
"函館","二股",1209,,
"函館","蕨岱",1269,,
"函館","黒松内",1323,,
"函館","熱郛",1404,,
"函館","目名",1558,,
"函館","蘭越",1634,,
"函館","昆布",1703,,
"函館","ニセコ",1796,,
"函館","比羅夫",1866,,
"函館","倶知安",1933,,
"函館","小沢",2036,,
"函館","銀山",2134,,
"函館","然別",2241,,
"函館","仁木",2282,,
"函館","余市",2326,,
"函館","蘭島",2379,,
"函館","塩谷",2448,,
"函館","小樽",2525,,
"函館","南小樽",2541,,
"函館","小樽築港",2562,,
"函館","朝里",2593,,
"函館","銭函",2681,,
"函館","ほしみ",2710,,
"函館","星置",2726,,
"函館","稲穂",2737,,
"函館","手稲",2757,,
"函館","稲積公園",2770,,
"函館","発寒",2792,,
"函館","発寒中央",2810,,
"函館","琴似",2825,,
"函館","桑園",2847,,
"函館","札幌",2863,,
"函館","苗穂",2885,,
"函館","（函）白石",2921,,
"函館","厚別",2965,,
"函館","森林公園",2985,,
"函館","大麻",3008,,
"函館","野幌",3042,,
"函館","高砂",3055,,
"函館","江別",3073,,
"函館","豊幌",3135,,
"函館","幌向",3167,,
"函館","上幌向",3226,,
"函館","岩見沢",3269,,
"函館","峰延",3353,,
"函館","光珠内",3398,,
"函館","美唄",3437,,
"函館","茶志内",3481,,
"函館","奈井江",3543,,
"函館","豊沼",3590,,
"函館","砂川",3622,,
"函館","滝川",3698,,
"函館","江部乙",3782,,
"函館","妹背牛",3857,,
"函館","深川",3929,,
"函館","納内",4003,,
"函館","伊納",4130,,
"函館","近文",4191,,
"函館","旭川",4231,,
"函館2","大沼",0,,
"函館2","池田園",34,,
