"name:text:u","yomi:text","denryaku:text:u","urban:integer:n","yamanote:integer:n","densha:integer:n","comment:trash"
"筑前深江","ちくぜんふかえ","モシチフ",,,,
"大入","だいにゅう","モシニウ",,,,
"福吉","ふくよし","モシフヨ",,,,
"鹿家","しかか","モシシカ",,,,
"浜崎","はまさき","モシハサ",,,,
"虹ノ松原","にじのまつばら","モシニラ",,,,
"東唐津","ひがしからつ","モシラツ",,,,
"和多田","わただ","モシワタ",,,,
"若松","わかまつ","モシワカ",11,,,"筑豊"
"藤ノ木","ふじのき","モシノキ",11,,,
"奥洞海","おくどうかい","モシトカ",11,,,
"二島","ふたじま","モシフタ",11,,,
"本城","ほんじょう","モシホン",11,,,
"東水巻","ひがしみずまき","モシヒマ",,,,
"中間","なかま","モシカマ",,,,
"筑前垣生","ちくぜんはぶ","モシハフ",,,,
"鞍手","くらて","モシクラ",,,,
"筑前植木","ちくぜんうえき","モシチク",,,,
"新入","しんにゅう","モシシウ",,,,
"直方","のおがた","モシノウ",,,,
"勝野","かつの","モシカツ",,,,
"小竹","こたけ","モシコケ",,,,
"鯰田","なまずた","モシナマ",,,,
"浦田","うらた","モシラタ",,,,
"新飯塚","しんいいづか","モシシツ",,,,
"飯塚","いいづか","モシツカ",,,,
"天道","てんとう","モシテン",,,,
"桂川","けいせん","モシケイ",,,,
"上穂波","かみほなみ","モシホナ",,,,
"筑前内野","ちくぜんうちの","モシチチ",,,,
"筑前山家","ちくぜんやまえ","モシチエ",,,,
"筑前大分","ちくぜんだいぶ","モシタフ",,,,"篠栗"
"九郎原","くろうばる","モシロウ",,,,
"城戸南蔵院前","きどなんぞういんまえ","モシキト",,,,
"筑前山手","ちくぜんやまて","モシヤテ",,,,
"篠栗","ささぐり","モシサク",,,,
"門松","かどまつ","モシトマ",,,,
"長者原","ちょうじゃばる","モシチハ",,,,
"原町","はるまち","モシマチ",,,,
"柚須","ゆす","モシサス",,,,
"西戸崎","さいとざき","モシサイ",12,,,"香椎"
"海ノ中道","うみのなかみち","モシナミ",12,,,
"雁ノ巣","がんのす","モシノス",12,,,
"奈多","なた","モシナタ",12,,,
"和白","わじろ","モシワシ",12,,,
"香椎神宮","かしいじんぐう","モシカカ",12,,,
"舞松原","まいまつばら","モシママ",12,,,
"土井","どい","モシトイ",12,,,
"伊賀","いが","モシイカ",,,,
"酒殿","さかど","モシカト",,,,
"須恵","すえ","モシスエ",,,,
"須恵中央","すえちゅうおう","モシスチ",,,,
"新原","しんばる","モシシン",,,,
"宇美","うみ","モシウミ",,,,
"上三緒","かみみお","モシミオ",,,,"後藤寺"
"下鴨生","しもかもお","モシモカ",,,,
"筑前庄内","ちくぜんしょうない","モシクセ",,,,
"船尾","ふなお","モシフナ",,,,
"緑川","みどりかわ","クマミカ",,,,"三角"
"（三）住吉","すみよし","クマスミ",,,,
"肥後長浜","ひごながはま","クマハマ",,,,
"網田","おうだ","クマオタ",,,,
"赤瀬","あかせ","クマアセ",,,,
"石打ダム","いしうちだむ","クマウタ",,,,
"波多浦","はたうら","クマハタ",,,,
"三角","みすみ","クマミス",,,,
"段","だん","クマタン",,,,"肥薩"
"坂本","さかもと","クマモト",,,,
"葉木","はき","クマハキ",,,,
"鎌瀬","かませ","クマカマ",,,,
"瀬戸石","せといし","クマセト",,,,
"海路","かいじ","クマカチ",,,,
"吉尾","よしお","クマヨシ",,,,
"（肥）白石","しろいし","クマシロ",,,,
"球泉洞","きゅうせんどう","クマキセ",,,,
"一勝地","いっしょうち","クマイチ",,,,
"那良口","ならぐち","クマナラ",,,,
"渡","わたり","クマタリ",,,,
"西人吉","にしひとよし","クマニヨ",,,,
"人吉","ひとよし","クマヒト",,,,
"大畑","おこば","クマオコ",,,,
"矢岳","やたけ","クマヤケ",,,,
"真幸","まさき","クママサ",,,,
"吉松","よしまつ","カコヨマ",,,,
"栗野","くりの","カコクリ",,,,
"大隅横川","おおすみよこがわ","カコヨコ",,,,
"植村","うえむら","カコウム",,,,
"霧島温泉","きりしまおんせん","カコキチ",,,,
"嘉例川","かれいがわ","カコカレ",,,,
"中福良","なかふくら","カコナフ",,,,
"表木山","ひょうきやま","カコヒキ",,,,
"日当山","ひなたやま","カコヒナ",,,,
"日向庄内","ひゅうがしょうない","カコシヨ",,,,"吉都"
"谷頭","たにがしら","カコタニ",,,,
"万ヶ塚","まんがつか","カコマン",,,,
"東高崎","ひがしたかさき","カコカサ",,,,
"高崎新田","たかさきしんでん","カコタサ",,,,
"日向前田","ひゅうがまえだ","カコヒマ",,,,
"高原","たかはる","カコタハ",,,,
"広原","ひろわら","カコロワ",,,,
"（吉）小林","こばやし","カココハ",,,,
"西小林","にしこばやし","カコヤシ",,,,
"えびの飯野","えびのいいの","カコイイ",,,,
"えびの上江","えびのうわえ","カコウワ",,,,
"えびの","えびの","カコエヒ",,,,
"京町温泉","きょうまちおんせん","カコキヨ",,,,
"鶴丸","つるまる","カコマル",,,,
"田吉","たよし","カコタヨ",,,,"日南"
"南方","みなみかた","カコミタ",,,,
"木花","きばな","カコハナ",,,,
"運動公園","うんどうこうえん","カコウコ",,,,
"曽山寺","そさんじ","カコソサ",,,,
"子供の国","こどものくに","カココモ",,,,
